File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:23:09 PDT
Duration: 1.71s, Total samples = 1.42s (82.95%)
Showing nodes accounting for 1.42s, 100% of 1.42s total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.runLanguageResultCompatibility.func16
         0     0%   100%      0.03s  2.11%  github.com/odvcencio/gotreesitter.stackCompareForResultSelection (inline)
         0     0%   100%      0.03s  2.11%  github.com/odvcencio/gotreesitter.stackCompareForResultSelectionWithRawShape
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.stackEntryNodesEquivalentIgnoringDynamic
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.stackEntryPayloadsEquivalentIgnoringDynamicWithScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.stackEntryResultErrorRank
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.stackEquivalentForMergeState
         0     0%   100%      0.04s  2.82%  github.com/odvcencio/gotreesitter.stackMaterializingShapeHashWithScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.stackResultErrorRank
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.summarizeResultErrorsWithStop
         0     0%   100%      0.06s  4.23%  github.com/odvcencio/gotreesitter.tryGSSMainMergeResult
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.walkGoCompatSubtree
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.walkResultTreeUntil
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.walkResultTreeUntil.func1
         0     0%   100%      0.78s 54.93%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).hook
         0     0%   100%      0.78s 54.93%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0%   100%      0.78s 54.93%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0%   100%      0.78s 54.93%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0%   100%      0.03s  2.11%  runtime.(*mspan).markBitsForIndex (inline)
         0     0%   100%      0.02s  1.41%  runtime.ReadMemStats
         0     0%   100%      0.02s  1.41%  runtime.ReadMemStats.func1
         0     0%   100%      0.11s  7.75%  runtime.gcBgMarkWorker
         0     0%   100%      0.11s  7.75%  runtime.gcBgMarkWorker.func2
         0     0%   100%      0.11s  7.75%  runtime.gcDrain
         0     0%   100%      0.11s  7.75%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0%   100%      0.01s   0.7%  runtime.makeslice
         0     0%   100%      0.01s   0.7%  runtime.mallocgc
         0     0%   100%      0.01s   0.7%  runtime.mallocgcSmallScanHeader
         0     0%   100%      0.19s 13.38%  runtime.systemstack
         0     0%   100%      0.01s   0.7%  runtime.typedslicecopy
         0     0%   100%      0.06s  4.23%  runtime.wbBufFlush
         0     0%   100%      0.06s  4.23%  runtime.wbBufFlush.func1
         0     0%   100%      0.78s 54.93%  testing.(*B).run1.func1
         0     0%   100%      0.78s 54.93%  testing.(*B).runN
         0     0%   100%      0.02s  1.41%  time.Now
         0     0%   100%      0.03s  2.11%  time.Since
